year,critical_direction_deg,critical_fetch_km,max_wind_time,max_wind_speed_U10_m_s,max_wind_direction_from_deg,wind_sector_half_width_deg,storm_start,storm_end,storm_duration_h,storm_threshold_m_s,UA_m_s,F_star,t_star,F_eff_star_from_duration,F_star_FAS_by_height,F_star_FAS_by_period,F_star_FAS_limit,limiting_dimensionless_fetch,sea_state,Hm0_Hs_m,Tp_s
2005,67.5,1074.12,2005-03-01 22:00:00,11.95166015625,57.750335693359375,11.25,2005-03-01 15:00:00,2005-03-02 00:00:00,10.0,8.9637451171875,15.013953913780256,46744.62215758387,23522.118292627714,6321.672414738871,23066.015625,22970.663371300332,23066.015625,6321.672414738871,Duration limited,2.923190548132628,8.09349494726884
2006,67.5,1074.12,2006-02-05 19:00:00,11.59912109375,58.355010986328125,11.25,2006-02-05 18:00:00,2006-02-05 19:00:00,2.0,8.6993408203125,14.471088520465454,50317.541132714476,4880.904425407258,597.5411219093205,23066.015625,22970.663371300332,23066.015625,597.5411219093205,Duration limited,0.8349054089078826,3.5534823168053054
2007,67.5,1074.12,2007-02-24 17:00:00,11.6494140625,57.55711364746094,11.25,2007-02-24 17:00:00,2007-02-25 09:00:00,17.0,8.737060546875,14.548304068859057,49784.83493525307,41267.49050324763,14690.258319540302,23066.015625,22970.663371300332,23066.015625,14690.258319540302,Duration limited,4.183988003467721,10.387695397354719
2008,67.5,1074.12,2008-09-25 22:00:00,12.509765625,59.16426086425781,11.25,2008-09-25 12:00:00,2008-09-25 22:00:00,11.0,9.38232421875,15.8808897823206,41780.35706830407,24461.85354377756,6704.268284944392,23066.015625,22970.663371300332,23066.015625,6704.268284944392,Duration limited,3.3680329461681877,8.730162329660754
2009,67.5,1074.12,2009-01-06 06:00:00,12.5166015625,60.66407775878906,11.25,2009-01-06 03:00:00,2009-01-06 07:00:00,5.0,9.387451171875,15.891564493672954,41724.24636122166,11111.555446306329,2052.4832860832635,23066.015625,22970.663371300332,23066.015625,2052.4832860832635,Duration limited,1.8660535367098416,5.887852073623307
2010,67.5,1074.12,2010-03-08 09:00:00,11.98583984375,63.9176025390625,11.25,2010-03-08 01:00:00,2010-03-08 12:00:00,12.0,8.9893798828125,15.066784173378105,46417.38564753231,28127.568240395263,8266.384901587944,23066.015625,22970.663371300332,23066.015625,8266.384901587944,Duration limited,3.3662775537691028,8.88156436150232
2011,67.5,1074.12,2011-12-22 12:00:00,11.82861328125,60.96942138671875,11.25,2011-12-22 03:00:00,2011-12-22 16:00:00,14.0,8.8714599609375,14.824053163519705,47949.91955614034,33352.8215627775,10673.729996218934,23066.015625,22970.663371300332,23066.015625,10673.729996218934,Duration limited,3.7029087439899246,9.515597432363489
2012,67.5,1074.12,2012-12-19 03:00:00,14.80859375,58.360870361328125,11.25,2012-12-19 03:00:00,2012-12-19 04:00:00,2.0,11.1064453125,19.54296013975704,27589.32772713067,3614.1914784091714,380.74488619831243,23066.015625,22970.663371300332,23066.015625,380.74488619831243,Duration limited,1.2154824910667203,4.1295119921973065
2013,67.5,1074.12,2013-11-26 21:00:00,12.9404296875,57.870849609375,11.25,2013-11-26 12:00:00,2013-11-26 21:00:00,10.0,9.705322265625,16.55599347039623,38442.47296945819,21331.24784275165,5459.360022524468,23066.015625,22970.663371300332,23066.015625,5459.360022524468,Duration limited,3.303180725943683,8.49896780183546
2014,67.5,1074.12,2014-10-25 05:00:00,16.30078125,66.62181091308594,11.25,2014-10-24 22:00:00,2014-10-25 08:00:00,11.0,12.2255859375,21.992505263383826,21785.744269718994,17664.017598158258,4113.879586633835,23066.015625,22970.663371300332,23066.015625,4113.879586633835,Duration limited,5.059716367808176,10.27359060868622
